ID,Media,FamSize,Hilary,Trump,Age,Partner,Education,SpouseEdu,Employment,Birthplace,GBirth,Dependent,Housing,Income,Education2,PartyID,Marital
404453,6,5,1,6,32,-1,10,9,1,1,1,1,4,23,3,2,1
404455,7,1,3,7,45,2,10,-1,1,1,3,0,2,28,3,3,3
404456,7,2,6,3,47,2,10,-1,1,1,1,1,1,5,3,3,5
404459,7,0,4,4,-9,-9,9,-1,1,-9,1,0,2,-9,2,3,3
404460,3,3,6,6,24,2,13,-1,4,1,0,0,2,25,5,3,5
404461,3,0,3,6,20,1,10,8,1,1,3,0,1,2,3,3,5
404469,4,7,6,2,26,2,11,-1,8,1,1,3,1,23,4,1,5
404471,7,1,4,7,74,2,10,-1,5,1,1,0,2,16,3,1,2
404476,7,0,4,2,78,2,14,-1,5,1,0,0,3,17,6,2,3
404477,7,1,1,5,76,-1,9,14,7,1,0,0,2,24,2,3,1
404482,7,0,2,7,66,1,13,13,5,1,1,0,2,27,5,2,5
404485,6,1,2,5,52,-1,13,10,1,1,0,0,2,25,5,2,1
404490,5,1,1,5,78,-1,6,9,5,4,0,0,1,3,1,2,1
404491,7,1,2,7,67,-1,14,14,5,1,1,0,3,15,6,1,1
404495,7,2,1,7,63,-1,11,11,1,1,1,0,3,23,4,2,1
404497,4,0,6,4,71,2,13,-1,5,1,2,0,3,11,5,2,3
404507,7,4,5,4,35,1,5,3,1,1,0,1,2,7,1,3,5
404511,7,1,2,6,75,-1,10,10,5,1,0,0,3,22,3,3,1
404514,7,1,1,6,68,2,9,-1,5,1,1,0,1,11,2,2,3
404515,7,1,4,6,66,-1,9,8,5,4,0,0,3,5,2,3,1
404519,6,2,1,6,19,2,8,-1,4,1,0,0,4,6,1,1,5
404521,1,5,3,7,36,-1,14,14,1,1,1,3,2,21,6,3,1
404523,5,0,4,3,47,2,5,-1,6,2,1,0,1,2,1,1,4
404524,2,4,4,7,30,2,-9,-1,1,-9,-9,4,1,-9,,,5
404528,7,0,2,6,45,2,13,-1,1,1,1,0,1,15,5,3,3
404529,5,3,4,1,52,2,11,-1,1,1,1,3,2,3,4,1,3
404530,5,2,4,4,-9,-1,9,9,1,1,1,0,3,28,2,2,1
404531,7,1,2,5,78,-1,15,10,1,1,1,0,2,24,6,2,1
404533,7,0,1,6,59,2,9,-1,1,1,3,0,2,12,2,2,3
404536,7,4,6,1,47,-1,13,13,1,4,0,2,2,25,5,1,1
404537,4,0,4,6,-9,2,9,-1,1,1,1,-9,2,15,2,3,5
404542,7,0,2,7,66,-9,13,-1,5,1,1,0,1,20,5,1,3
404543,7,3,3,7,32,-1,13,13,1,1,1,2,2,19,5,1,1
404546,7,1,4,6,69,-1,13,14,1,4,1,0,2,21,5,3,1
404551,7,3,1,6,23,-1,10,10,1,1,3,2,2,20,3,2,1
404553,5,0,6,3,60,2,14,-1,1,1,3,0,2,19,6,3,5
404555,3,5,3,5,41,-1,14,13,1,1,3,4,1,26,6,1,1
404559,7,3,2,5,39,1,11,13,1,1,0,2,1,24,4,2,3
404561,7,3,1,6,52,-1,13,14,1,1,1,1,3,28,5,2,1
404562,0,1,1,6,53,2,10,-1,1,1,1,0,4,7,3,3,3
404567,7,1,2,7,86,-1,7,7,5,1,1,0,3,13,1,1,1
404573,0,1,2,6,24,-1,13,13,8,7,1,0,1,12,5,2,1
404574,7,1,4,7,62,-1,14,9,4,1,1,0,2,17,6,1,1
404576,6,1,4,6,43,2,10,-1,1,1,1,0,1,14,3,2,4
